# Env keys under C:\cevict-live (sorted by key name)
# Generated: 2026-02-04 04:29:54
#
KEY	HAS_VALUE	FILE(S)	VALUE_OR_MASKED
ANTHROPIC_API_KEY	yes	.env.local; .env.local; .env.local.backup; .env.local_01142025; .env.template.txt; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\.env.local.MASTER_BACKUP; apps\alpha-hunter\arbitrage-v2\.env.local-old; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\alpha-hunter\environments\test\.env.local; apps\alpha-hunter\environments\test\.env.local; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\gulfcoastcharters\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; apps\popthepopcorn\.env.local; apps\praxis.original\.env.example; apps\progno\.env.local; apps\prognostication\progno-massager\.env.local; apps\prognostication\progno-massager\.env.local.example; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; backups\_20260108_0705ai-orchestrator\.env.local; backups\_20260108_0705cevict\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0705local-agent\.env.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0705progno-massager\.env.local; backups\_20260108_0711ai-orchestrator\.env.local; backups\_20260108_0711cevict\.env.local; backups\_20260108_0711launchpad\.env.local; backups\_20260108_0711local-agent\.env.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; backups\_20260108_0711progno-massager\.env.local; old-cevict-monorepo\apps\ai-orchestrator\.env.example; old-cevict-monorepo\apps\alpha-hunter\.env.example; old-cevict-monorepo\apps\local-agent\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
ANTHROPIC_MODEL	yes	.env.local_01142025; .env.template.txt; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local-old; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
ANTHROPIC_RATE_LIMIT_MAX	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
ANTHROPIC_RATE_LIMIT_REFILL	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
API_FOOTBALL_KEY	yes	.env.local	(use -IncludeValues to show)
API_SPORTS_AMERICAN_FOOTBALL_KEY	yes	.env.local	(use -IncludeValues to show)
API_SPORTS_BASEBALL_KEY	yes	.env.local	(use -IncludeValues to show)
API_SPORTS_BASKETBALL_KEY	yes	.env.local	(use -IncludeValues to show)
API_SPORTS_HOCKEY_KEY	yes	.env.local	(use -IncludeValues to show)
API_SPORTS_KEY	yes	apps\progno\.env.example; backups\_20260108_0705local-agent\.env.local; backups\_20260108_0711local-agent\.env.local	(use -IncludeValues to show)
API_SPORTS_NBA_HOST	yes	apps\progno\.env.example	(use -IncludeValues to show)
API_SPORTS_NCAAB_HOST	yes	apps\progno\.env.example	(use -IncludeValues to show)
API_SPORTS_NCAAF_HOST	yes	apps\progno\.env.example	(use -IncludeValues to show)
API_SPORTS_NFL_HOST	yes	apps\progno\.env.example	(use -IncludeValues to show)
API_SPORTS_NHL_HOST	yes	apps\progno\.env.example	(use -IncludeValues to show)
API_SPORTS_RATE_LIMIT	yes	apps\progno\.env.example	(use -IncludeValues to show)
API_SPORTS_RATE_PERIOD	yes	apps\progno\.env.example	(use -IncludeValues to show)
ARBITRAGE_MIN_POLY_VOLUME	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
ARBITRAGE_MIN_SPREAD_CENTS	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
ARBITRAGE_MIN_SPREAD_PCT	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
AUTO_EXECUTE	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\alpha-hunter\environments\test\.env.local; apps\alpha-hunter\environments\test\.env.local; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\gulfcoastcharters\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; backups\_20260108_0705cevict\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0711cevict\.env.local; backups\_20260108_0711launchpad\.env.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
AUTO_FUND_AMOUNT	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
AUTO_FUND_COOLDOWN	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
AUTO_FUND_KALSHI	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
AUTO_FUND_THRESHOLD	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
BACKTEST_MAX_ANTHROPIC_CALLS	yes	.env.template.txt	(use -IncludeValues to show)
BACKTEST_SKIP_ANTHROPIC	yes	.env.template.txt	(use -IncludeValues to show)
BINANCE_API_KEY	no	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
BINANCE_API_SECRET	no	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
BINANCE_REGION	yes	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
BORROW_LIQ_BUFFER	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
BORROW_MAX_LTV	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
BORROW_TARGET_LTV	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
BOT_API_KEY	no	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; backups\_20260108_0705smokersrights\.env.local; backups\_20260108_0711smokersrights\.env.local; old-cevict-monorepo\apps\alpha-hunter\.env.example; old-cevict-monorepo\apps\smokersrights\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
BOT_KEY	yes	cloud-orchestrator\.env.example	(use -IncludeValues to show)
BOT_MODE	yes	.env.local; .env.local	(use -IncludeValues to show)
BRAIN_API_TOKEN	yes	backups\_20260108_0705brain\.env.local; backups\_20260108_0705gateway\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0711brain\.env.local; backups\_20260108_0711gateway\.env.local; backups\_20260108_0711launchpad\.env.local	(use -IncludeValues to show)
BRAIN_BASE_URL	yes	backups\_20260108_0705launchpad\.env.local; backups\_20260108_0711launchpad\.env.local	(use -IncludeValues to show)
BRAIN_DISPATCH_URL	yes	backups\_20260108_0705brain\.env.local; backups\_20260108_0705gateway\.env.local; backups\_20260108_0711brain\.env.local; backups\_20260108_0711gateway\.env.local	(use -IncludeValues to show)
BTCPAY_API_KEY	yes	old-cevict-monorepo\apps\wheretovacation\.env.local.example	(use -IncludeValues to show)
BTCPAY_SERVER_URL	yes	old-cevict-monorepo\apps\wheretovacation\.env.local.example	(use -IncludeValues to show)
BYPASS_CONSENT	yes	apps\progno\.env.example	(use -IncludeValues to show)
BYPASS_RATE_LIMIT	yes	apps\progno\.env.example	(use -IncludeValues to show)
CFBD_API_KEY	yes	.env.local	(use -IncludeValues to show)
CFBD_KEY	yes	.env.local	(use -IncludeValues to show)
CHARTER_SUPABASE_URL	yes	.env.local.backup; apps\alpha-hunter\environments\test\.env.local; apps\gulfcoastcharters\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; backups\_20260108_0705cevict\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0711cevict\.env.local; backups\_20260108_0711launchpad\.env.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
CLAUDE_CODE_OAUTH_TOKEN	yes	.env.local.backup	(use -IncludeValues to show)
CLERK_SECRET_KEY	no	apps\praxis.original\.env.example	(use -IncludeValues to show)
COINBASE_API_KEY	yes	.env.local; .env.local; .env.local.backup; .env.local_01142025; .env.template.txt; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\.env.local.MASTER_BACKUP; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\gulfcoastcharters\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; backups\_20260108_0705cevict\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0711cevict\.env.local; backups\_20260108_0711launchpad\.env.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
COINBASE_API_SECRET	yes	.env.local; .env.local; .env.local.backup; .env.local_01142025; .env.template.txt; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\.env.local.MASTER_BACKUP; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\gulfcoastcharters\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; backups\_20260108_0705cevict\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0711cevict\.env.local; backups\_20260108_0711launchpad\.env.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
COINBASE_COMMERCE_API_KEY	yes	old-cevict-monorepo\apps\wheretovacation\.env.local.example	(use -IncludeValues to show)
COINBASE_PASSPHRASE	no	.env.template.txt	(use -IncludeValues to show)
COINBASE_RATE_LIMIT_MAX	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
COINBASE_RATE_LIMIT_REFILL	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
COINGECKO_API_KEY	no	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
COMMODITIES_MAX_DAILY_TRADES	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
COMMODITIES_MIN_CONFIDENCE	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
COMMODITIES_MIN_EDGE	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
CRON_EXPECTED_JOBS	yes	apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
CRON_SECRET	yes	apps\progno\.env.example	(use -IncludeValues to show)
CRYPTO_COM_API_KEY	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
CRYPTO_COM_API_SECRET	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
CRYPTO_COM_MAX_POSITION	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
CRYPTO_COM_MIN_TRADE	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
CRYPTO_INTERVAL	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; apps\alpha-hunter\environments\test\.env.test; backups\prod\.env.local.backup	(use -IncludeValues to show)
CRYPTO_MAX_DAILY_TRADES	yes	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
CRYPTO_MAX_TRADE_SIZE	yes	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
